,SCIENTIFIC_NAME,COMMON_NAME,SPECIES_CODE,TAXON_ORDER,TAXON_GROUP,COM_NAME_CODES,SCI_NAME_CODES,ORDER,FAMILY_COM_NAME,FAMILY_SCI_NAME,FAMILY_CODE,EXTINCT,ebird_idx,inat_id,preferred_common_name,matched_term,name,photo_url,wikipedia_url
0,Struthio camelus,Common Ostrich,ostric2,2,Ostriches,COOS,STCA,Struthioniformes,Ostriches,Struthionidae,struth1,,0,20526,Common Ostrich,Struthio camelus,Struthio camelus,https://static.inaturalist.org/photos/2568822/medium.jpg,http://en.wikipedia.org/wiki/Common_ostrich
1,Struthio molybdophanes,Somali Ostrich,ostric3,7,Ostriches,SOOS,STMO,Struthioniformes,Ostriches,Struthionidae,struth1,,1,472777,Somali Ostrich,Struthio molybdophanes,Struthio molybdophanes,https://inaturalist-open-data.s3.amazonaws.com/photos/21127689/medium.jpeg,http://en.wikipedia.org/wiki/Somali_ostrich
2,Rhea americana,Greater Rhea,grerhe1,10,Rheas,GRRH,RHAM,Rheiformes,Rheas,Rheidae,rheida1,,2,20512,Greater Rhea,Rhea americana,Rhea americana,https://inaturalist-open-data.s3.amazonaws.com/photos/68235230/medium.jpeg,http://en.wikipedia.org/wiki/Greater_rhea
3,Rhea pennata,Lesser Rhea,lesrhe2,16,Rheas,LERH,RHPE,Rheiformes,Rheas,Rheidae,rheida1,,3,73338,Lesser Rhea,Rhea pennata,Rhea pennata,https://static.inaturalist.org/photos/43177795/medium.jpeg,https://en.wikipedia.org/wiki/Darwin's_rhea
4,Nothocercus julius,Tawny-breasted Tinamou,tabtin1,22,Tinamous,TBTI,NOJU,Tinamiformes,Tinamous,Tinamidae,tinami1,,4,20700,Tawny-breasted Tinamou,Nothocercus julius,Nothocercus julius,https://static.inaturalist.org/photos/60010397/medium.jpeg,http://en.wikipedia.org/wiki/Tawny-breasted_tinamou
5,Nothocercus bonapartei,Highland Tinamou,higtin1,23,Tinamous,,NOBO,Tinamiformes,Tinamous,Tinamidae,tinami1,,5,20701,Highland Tinamou,Nothocercus bonapartei,Nothocercus bonapartei,https://inaturalist-open-data.s3.amazonaws.com/photos/6793269/medium.jpg,http://en.wikipedia.org/wiki/Highland_tinamou
6,Nothocercus nigrocapillus,Hooded Tinamou,hootin1,30,Tinamous,HOTI,NONI,Tinamiformes,Tinamous,Tinamidae,tinami1,,6,20707,Hooded Tinamou,Nothocercus nigrocapillus,Nothocercus nigrocapillus,https://inaturalist-open-data.s3.amazonaws.com/photos/113967158/medium.jpg,http://en.wikipedia.org/wiki/Hooded_tinamou
7,Tinamus tao,Gray Tinamou,grytin1,33,Tinamous,GRTI,TITA,Tinamiformes,Tinamous,Tinamidae,tinami1,,7,20685,Gray Tinamou,Tinamus tao,Tinamus tao,https://static.inaturalist.org/photos/227913772/medium.jpg,http://en.wikipedia.org/wiki/Grey_tinamou
8,Tinamus solitarius,Solitary Tinamou,soltin1,38,Tinamous,SOTI,TISO,Tinamiformes,Tinamous,Tinamidae,tinami1,,8,20690,Solitary Tinamou,Tinamus solitarius,Tinamus solitarius,https://inaturalist-open-data.s3.amazonaws.com/photos/102104769/medium.jpg,https://en.wikipedia.org/wiki/Solitary_tinamou
9,Tinamus osgoodi,Black Tinamou,blatin1,39,Tinamous,BLTI,TIOS,Tinamiformes,Tinamous,Tinamidae,tinami1,,9,20669,Black Tinamou,Tinamus osgoodi,Tinamus osgoodi,https://inaturalist-open-data.s3.amazonaws.com/photos/70265010/medium.jpg,http://en.wikipedia.org/wiki/Black_tinamou
10,Tinamus major,Great Tinamou,gretin1,42,Tinamous,,TIMA,Tinamiformes,Tinamous,Tinamidae,tinami1,,10,20672,Great Tinamou,Tinamus major,Tinamus major,https://inaturalist-open-data.s3.amazonaws.com/photos/168468249/medium.jpg,http://en.wikipedia.org/wiki/Great_tinamou
11,Tinamus guttatus,White-throated Tinamou,whttin1,55,Tinamous,WTTI,TIGU,Tinamiformes,Tinamous,Tinamidae,tinami1,,11,20668,White-throated Tinamou,Tinamus guttatus,Tinamus guttatus,https://inaturalist-open-data.s3.amazonaws.com/photos/5489267/medium.jpg,http://en.wikipedia.org/wiki/White-throated_tinamou
12,Crypturellus cinereus,Cinereous Tinamou,cintin1,57,Tinamous,CITI,CRCI,Tinamiformes,Tinamous,Tinamidae,tinami1,,12,20534,Cinereous Tinamou,Crypturellus cinereus,Crypturellus cinereus,https://inaturalist-open-data.s3.amazonaws.com/photos/648111/medium.jpg,http://en.wikipedia.org/wiki/Cinereous_tinamou
13,Crypturellus berlepschi,Berlepsch's Tinamou,bertin1,58,Tinamous,BETI,CRBE,Tinamiformes,Tinamous,Tinamidae,tinami1,,13,20577,Berlepsch's Tinamou,Crypturellus berlepschi,Crypturellus berlepschi,https://inaturalist-open-data.s3.amazonaws.com/photos/28325524/medium.jpg,http://en.wikipedia.org/wiki/Berlepsch's_tinamou
14,Crypturellus soui,Little Tinamou,littin1,59,Tinamous,,CRSO,Tinamiformes,Tinamous,Tinamidae,tinami1,,14,20535,Little Tinamou,Crypturellus soui,Crypturellus soui,https://static.inaturalist.org/photos/14030088/medium.jpg,http://en.wikipedia.org/wiki/Little_tinamou
15,Crypturellus obsoletus,Brown Tinamou,brotin1,75,Tinamous,BRTI,CROB,Tinamiformes,Tinamous,Tinamidae,tinami1,,16,20599,Brown Tinamou,Crypturellus obsoletus,Crypturellus obsoletus,https://inaturalist-open-data.s3.amazonaws.com/photos/86359703/medium.jpg,http://en.wikipedia.org/wiki/Brown_tinamou
16,Crypturellus undulatus,Undulated Tinamou,undtin1,86,Tinamous,UNTI,CRUN,Tinamiformes,Tinamous,Tinamidae,tinami1,,17,20592,Undulated Tinamou,Crypturellus undulatus,Crypturellus undulatus,https://inaturalist-open-data.s3.amazonaws.com/photos/117592763/medium.jpeg,http://en.wikipedia.org/wiki/Undulated_tinamou
17,Crypturellus transfasciatus,Pale-browed Tinamou,pabtin1,93,Tinamous,PBTI,CRTR,Tinamiformes,Tinamous,Tinamidae,tinami1,,18,20564,Pale-browed Tinamou,Crypturellus transfasciatus,Crypturellus transfasciatus,https://inaturalist-open-data.s3.amazonaws.com/photos/252195017/medium.jpg,http://en.wikipedia.org/wiki/Pale-browed_tinamou
18,Crypturellus strigulosus,Brazilian Tinamou,bratin1,94,Tinamous,BRTI,CRST,Tinamiformes,Tinamous,Tinamidae,tinami1,,19,20586,Brazilian Tinamou,Crypturellus strigulosus,Crypturellus strigulosus,https://inaturalist-open-data.s3.amazonaws.com/photos/183024235/medium.jpg,http://en.wikipedia.org/wiki/Brazilian_tinamou
19,Crypturellus duidae,Gray-legged Tinamou,gyltin1,95,Tinamous,GLTI,CRDU,Tinamiformes,Tinamous,Tinamidae,tinami1,,20,20550,Gray-legged Tinamou,Crypturellus duidae,Crypturellus duidae,https://inaturalist-open-data.s3.amazonaws.com/photos/29837493/medium.jpg,http://en.wikipedia.org/wiki/Grey-legged_tinamou
20,Crypturellus erythropus,Red-legged Tinamou,reltin1,96,Tinamous,RLTI,CRER,Tinamiformes,Tinamous,Tinamidae,tinami1,,21,20578,Red-legged Tinamou,Crypturellus erythropus,Crypturellus erythropus,https://inaturalist-open-data.s3.amazonaws.com/photos/252194376/medium.jpg,http://en.wikipedia.org/wiki/Red-legged_tinamou
21,Crypturellus noctivagus,Yellow-legged Tinamou,yeltin1,104,Tinamous,YLTI,CRNO,Tinamiformes,Tinamous,Tinamidae,tinami1,,22,20574,Yellow-legged Tinamou,Crypturellus noctivagus,Crypturellus noctivagus,https://inaturalist-open-data.s3.amazonaws.com/photos/252194486/medium.jpeg,http://en.wikipedia.org/wiki/Yellow-legged_tinamou
22,Crypturellus atrocapillus,Black-capped Tinamou,blctin1,107,Tinamous,BCTI,CRAT,Tinamiformes,Tinamous,Tinamidae,tinami1,,23,20571,Black-capped Tinamou,Crypturellus atrocapillus,Crypturellus atrocapillus,https://inaturalist-open-data.s3.amazonaws.com/photos/244092410/medium.jpg,http://en.wikipedia.org/wiki/Black-capped_tinamou
23,Crypturellus boucardi,Slaty-breasted Tinamou,slbtin1,110,Tinamous,,CRBO,Tinamiformes,Tinamous,Tinamidae,tinami1,,24,20567,Slaty-breasted Tinamou,Crypturellus boucardi,Crypturellus boucardi,https://inaturalist-open-data.s3.amazonaws.com/photos/84245/medium.jpg,http://en.wikipedia.org/wiki/Slaty-breasted_tinamou
24,Crypturellus kerriae,Choco Tinamou,chotin1,113,Tinamous,,CRKE,Tinamiformes,Tinamous,Tinamidae,tinami1,,25,20563,Chocó Tinamou,Crypturellus kerriae,Crypturellus kerriae,https://static.inaturalist.org/photos/32720798/medium.jpg,http://en.wikipedia.org/wiki/Choco_tinamou
25,Crypturellus variegatus,Variegated Tinamou,vartin1,114,Tinamous,VATI,CRVA,Tinamiformes,Tinamous,Tinamidae,tinami1,,26,20565,Variegated Tinamou,Crypturellus variegatus,Crypturellus variegatus,https://inaturalist-open-data.s3.amazonaws.com/photos/648112/medium.jpg,http://en.wikipedia.org/wiki/Variegated_tinamou
26,Crypturellus cinnamomeus,Thicket Tinamou,thitin1,115,Tinamous,ETTI,CRCI,Tinamiformes,Tinamous,Tinamidae,tinami1,,27,20553,Thicket Tinamou,Crypturellus cinnamomeus,Crypturellus cinnamomeus,https://static.inaturalist.org/photos/532003/medium.jpg,http://en.wikipedia.org/wiki/Thicket_tinamou
27,Crypturellus bartletti,Bartlett's Tinamou,bartin2,127,Tinamous,BATI,CRBA,Tinamiformes,Tinamous,Tinamidae,tinami1,,29,20566,Bartlett's Tinamou,Crypturellus bartletti,Crypturellus bartletti,https://static.inaturalist.org/photos/235100682/medium.jpg,http://en.wikipedia.org/wiki/Bartlett's_tinamou
28,Crypturellus parvirostris,Small-billed Tinamou,smbtin1,128,Tinamous,SBTI,CRPA,Tinamiformes,Tinamous,Tinamidae,tinami1,,30,20570,Small-billed Tinamou,Crypturellus parvirostris,Crypturellus parvirostris,https://inaturalist-open-data.s3.amazonaws.com/photos/648114/medium.jpg,https://en.wikipedia.org/wiki/Small-billed_tinamou
29,Crypturellus casiquiare,Barred Tinamou,bartin1,129,Tinamous,BATI,CRCA,Tinamiformes,Tinamous,Tinamidae,tinami1,,31,20533,Barred Tinamou,Crypturellus casiquiare,Crypturellus casiquiare,https://inaturalist-open-data.s3.amazonaws.com/photos/182007616/medium.jpg,http://en.wikipedia.org/wiki/Barred_tinamou
30,Crypturellus tataupa,Tataupa Tinamou,tattin1,130,Tinamous,TATI,CRTA,Tinamiformes,Tinamous,Tinamidae,tinami1,,32,20587,Tataupá Tinamou,Crypturellus tataupa,Crypturellus tataupa,https://inaturalist-open-data.s3.amazonaws.com/photos/173079358/medium.jpeg,https://en.wikipedia.org/wiki/Tataupa_tinamou
31,Rhynchotus rufescens,Red-winged Tinamou,rewtin1,136,Tinamous,RWTI,RHRU,Tinamiformes,Tinamous,Tinamidae,tinami1,,33,20695,Red-winged Tinamou,Rhynchotus rufescens,Rhynchotus rufescens,https://inaturalist-open-data.s3.amazonaws.com/photos/232103724/medium.jpg,https://en.wikipedia.org/wiki/Red-winged_tinamou
32,Rhynchotus maculicollis,Huayco Tinamou,huatin1,140,Tinamous,HUTI,RHMA,Tinamiformes,Tinamous,Tinamidae,tinami1,,34,20694,Huayco Tinamou,Rhynchotus maculicollis,Rhynchotus maculicollis,https://inaturalist-open-data.s3.amazonaws.com/photos/248571002/medium.jpeg,https://en.wikipedia.org/wiki/Huayco_tinamou
33,Nothoprocta taczanowskii,Taczanowski's Tinamou,tactin1,141,Tinamous,TATI,NOTA,Tinamiformes,Tinamous,Tinamidae,tinami1,,35,20633,Taczanowski's Tinamou,Nothoprocta taczanowskii,Nothoprocta taczanowskii,https://inaturalist-open-data.s3.amazonaws.com/photos/940236/medium.jpg,http://en.wikipedia.org/wiki/Taczanowski's_tinamou
34,Nothoprocta ornata,Ornate Tinamou,orntin1,142,Tinamous,ORTI,NOOR,Tinamiformes,Tinamous,Tinamidae,tinami1,,36,20613,Ornate Tinamou,Nothoprocta ornata,Nothoprocta ornata,https://inaturalist-open-data.s3.amazonaws.com/photos/164237513/medium.jpg,https://en.wikipedia.org/wiki/Ornate_tinamou
35,Nothoprocta perdicaria,Chilean Tinamou,chitin1,146,Tinamous,CHTI,NOPE,Tinamiformes,Tinamous,Tinamidae,tinami1,,37,20627,Chilean Tinamou,Nothoprocta perdicaria,Nothoprocta perdicaria,https://inaturalist-open-data.s3.amazonaws.com/photos/57342657/medium.jpeg,http://en.wikipedia.org/wiki/Chilean_tinamou
36,Nothoprocta cinerascens,Brushland Tinamou,brutin1,149,Tinamous,BRTI,NOCI,Tinamiformes,Tinamous,Tinamidae,tinami1,,38,20610,Brushland Tinamou,Nothoprocta cinerascens,Nothoprocta cinerascens,https://static.inaturalist.org/photos/224329198/medium.jpg,https://en.wikipedia.org/wiki/Brushland_tinamou
37,Nothoprocta pentlandii,Andean Tinamou,andtin1,152,Tinamous,ANTI,NOPE,Tinamiformes,Tinamous,Tinamidae,tinami1,,39,20619,Andean Tinamou,Nothoprocta pentlandii,Nothoprocta pentlandii,https://inaturalist-open-data.s3.amazonaws.com/photos/254271508/medium.jpg,http://en.wikipedia.org/wiki/Andean_tinamou
38,Nothoprocta curvirostris,Curve-billed Tinamou,cubtin1,161,Tinamous,CBTI,NOCU,Tinamiformes,Tinamous,Tinamidae,tinami1,,40,20630,Curve-billed Tinamou,Nothoprocta curvirostris,Nothoprocta curvirostris,https://static.inaturalist.org/photos/65879734/medium.jpeg,http://en.wikipedia.org/wiki/Curve-billed_tinamou
39,Nothura boraquira,White-bellied Nothura,whbnot1,165,Tinamous,WBNO,NOBO,Tinamiformes,Tinamous,Tinamidae,tinami1,,41,20666,White-bellied Nothura,Nothura boraquira,Nothura boraquira,https://inaturalist-open-data.s3.amazonaws.com/photos/141277423/medium.jpg,http://en.wikipedia.org/wiki/White-bellied_nothura
40,Nothura minor,Lesser Nothura,lesnot1,166,Tinamous,LENO,NOMI,Tinamiformes,Tinamous,Tinamidae,tinami1,,42,20665,Lesser Nothura,Nothura minor,Nothura minor,https://inaturalist-open-data.s3.amazonaws.com/photos/176299395/medium.jpeg,http://en.wikipedia.org/wiki/Lesser_nothura
41,Nothura darwinii,Darwin's Nothura,darnot1,167,Tinamous,DANO,NODA,Tinamiformes,Tinamous,Tinamidae,tinami1,,43,20650,Darwin's Nothura,Nothura darwinii,Nothura darwinii,https://inaturalist-open-data.s3.amazonaws.com/photos/86359787/medium.jpeg,https://en.wikipedia.org/wiki/Darwin's_nothura
42,Nothura maculosa,Spotted Nothura,sponot1,173,Tinamous,SPNO,NOMA,Tinamiformes,Tinamous,Tinamidae,tinami1,,44,20656,Spotted Nothura,Nothura maculosa,Nothura maculosa,https://inaturalist-open-data.s3.amazonaws.com/photos/103997991/medium.jpeg,http://en.wikipedia.org/wiki/Spotted_nothura
43,Taoniscus nanus,Dwarf Tinamou,dwatin1,185,Tinamous,DWTI,TANA,Tinamiformes,Tinamous,Tinamidae,tinami1,,45,20714,Dwarf Tinamou,Taoniscus nanus,Taoniscus nanus,https://inaturalist-open-data.s3.amazonaws.com/photos/349350838/medium.jpeg,http://en.wikipedia.org/wiki/Dwarf_tinamou
44,Eudromia elegans,Elegant Crested-Tinamou,elctin1,186,Tinamous,ELCT ECTI,EUEL,Tinamiformes,Tinamous,Tinamidae,tinami1,,46,20637,Elegant Crested-Tinamou,Eudromia elegans,Eudromia elegans,https://inaturalist-open-data.s3.amazonaws.com/photos/23647994/medium.jpg,https://en.wikipedia.org/wiki/Elegant_crested_tinamou
